Date,bitcoin_price,ethereum_price,solana_price,cardano_price,ripple_price
2020-04-10,6865.4931640625,158.41244506835938,0.9510539770126343,0.0332150012254715,0.18746399879455566
2020-04-11,6859.0830078125,158.2160186767578,0.7768189907073975,0.03335399925708771,0.18806299567222595
2020-04-12,6971.091796875,161.14242553710938,0.8825070261955261,0.03380599990487099,0.19013500213623047
2020-04-13,6845.03759765625,156.27955627441406,0.7778319716453552,0.03310700133442879,0.18773199617862701
2020-04-14,6842.427734375,157.5963897705078,0.6619250178337097,0.0329740010201931,0.18533499538898468
2020-04-15,6642.10986328125,153.28689575195312,0.646651029586792,0.031863000243902206,0.18127000331878662
2020-04-16,7116.80419921875,172.15737915039062,0.6908159852027893,0.034407999366521835,0.19010399281978607
2020-04-17,7096.1845703125,171.63858032226562,0.6607279777526855,0.03457299992442131,0.190201997756958
2020-04-18,7257.6650390625,186.91400146484375,0.6810960173606873,0.036552999168634415,0.194924995303154
2020-04-19,7189.4248046875,181.61495971679688,0.6069689989089966,0.035815998911857605,0.19085900485515594
2020-04-20,6881.95849609375,172.2971649169922,0.538811981678009,0.03417700156569481,0.18348999321460724
2020-04-21,6880.3232421875,172.73770141601562,0.5876590013504028,0.034699998795986176,0.18432800471782684
2020-04-22,7117.20751953125,182.59957885742188,0.6916009783744812,0.03655900061130524,0.18796999752521515
2020-04-23,7429.724609375,185.02867126464844,0.6274570226669312,0.04060500115156174,0.19171099364757538
2020-04-24,7550.90087890625,189.2369384765625,0.6342419981956482,0.041868001222610474,0.19366499781608582
2020-04-25,7569.93603515625,195.5153045654297,0.6433290243148804,0.04240800067782402,0.19505399465560913
2020-04-26,7679.8671875,197.31753540039062,0.6355059742927551,0.045878998935222626,0.19680500030517578
2020-04-27,7795.60107421875,197.22471618652344,0.5723720192909241,0.04660100117325783,0.19797800481319427
2020-04-28,7807.05859375,198.41539001464844,0.6612930297851562,0.04719499871134758,0.21548399329185486
2020-04-29,8801.0380859375,216.96823120117188,0.7458400130271912,0.051695000380277634,0.2274319976568222
2020-04-30,8658.5537109375,207.60205078125,0.6910449862480164,0.047846000641584396,0.21276099979877472
2020-05-01,8864.7666015625,214.21910095214844,0.7287939786911011,0.051259998232126236,0.2192479968070984
2020-05-02,8988.5966796875,215.32537841796875,0.7158759832382202,0.0510139986872673,0.2239139974117279
2020-05-03,8897.46875,210.9331512451172,0.6795349717140198,0.04892899841070175,0.21941399574279785
2020-05-04,8912.654296875,208.17401123046875,0.6674910187721252,0.04966399818658829,0.21896299719810486
2020-05-05,9003.0703125,206.77439880371094,0.6418370008468628,0.04935799911618233,0.21646299958229065
2020-05-06,9268.76171875,204.0557861328125,0.6225839853286743,0.04976699873805046,0.21521000564098358
2020-05-07,9951.5185546875,212.28941345214844,0.6129779815673828,0.05110599845647812,0.21891699731349945
2020-05-08,9842.666015625,212.9915771484375,0.6049219965934753,0.052303001284599304,0.21982699632644653
2020-05-09,9593.896484375,211.60012817382812,0.6045269966125488,0.051736000925302505,0.2169020026922226
2020-05-10,8756.4306640625,188.5995635986328,0.5370339751243591,0.04767699912190437,0.19817599654197693
2020-05-11,8601.7958984375,185.912841796875,0.5152729749679565,0.04810800030827522,0.19406400620937347
2020-05-12,8804.4775390625,189.3125,0.5385760068893433,0.05042099952697754,0.19763700664043427
2020-05-13,9269.9873046875,199.1932830810547,0.5505319833755493,0.051472000777721405,0.20148000121116638
2020-05-14,9733.7216796875,202.9490966796875,0.5691180229187012,0.0508899986743927,0.20312899351119995
2020-05-15,9328.197265625,195.62266540527344,0.5597519874572754,0.0504629984498024,0.19891099631786346
2020-05-16,9377.013671875,200.6771240234375,0.599120020866394,0.05093200132250786,0.20003199577331543
2020-05-17,9670.7392578125,207.15869140625,0.6129890084266663,0.051343001425266266,0.20125499367713928
2020-05-18,9726.5751953125,214.52505493164062,0.6526700258255005,0.05425199866294861,0.2051759958267212
2020-05-19,9729.0380859375,213.45111083984375,0.6244540214538574,0.05644899979233742,0.20402799546718597
2020-05-20,9522.9814453125,210.09674072265625,0.5791559815406799,0.05687500163912773,0.20170700550079346
2020-05-21,9081.76171875,199.88360595703125,0.6089149713516235,0.05224600061774254,0.19550900161266327
2020-05-22,9182.5771484375,207.169189453125,0.6388750076293945,0.05583300068974495,0.20034299790859222
2020-05-23,9209.287109375,208.69439697265625,0.6130310297012329,0.05532199889421463,0.19885599613189697
2020-05-24,8790.3681640625,202.37034606933594,0.5490530133247375,0.05264100059866905,0.19543099403381348
2020-05-25,8906.9345703125,205.3197479248047,0.6008570194244385,0.05401099845767021,0.19732700288295746
2020-05-26,8835.052734375,201.90231323242188,0.5733069777488708,0.05342999845743179,0.19397500157356262
2020-05-27,9181.017578125,208.86343383789062,0.5909850001335144,0.05518300086259842,0.19785700738430023
2020-05-28,9525.7509765625,219.84042358398438,0.5751550197601318,0.06455899775028229,0.20059500634670258
2020-05-29,9439.1240234375,220.6751251220703,0.5794150233268738,0.06465999782085419,0.1983480006456375
2020-05-30,9700.4140625,242.34559631347656,0.5879330039024353,0.07695800065994263,0.20622000098228455
2020-05-31,9461.05859375,230.9757080078125,0.5700219869613647,0.07435200363397598,0.20290599763393402
2020-06-01,10167.2685546875,246.99176025390625,0.5774949789047241,0.08116800338029861,0.21024900674819946
2020-06-02,9529.8037109375,237.21905517578125,0.5646690130233765,0.07845599949359894,0.20276400446891785
2020-06-03,9656.7177734375,244.1793212890625,0.5866209864616394,0.08543899655342102,0.20366300642490387
